year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
1893,Johannesburg,14.48,8.06,14.6454054054054054,8.1218918918918919
1894,Johannesburg,14.55,8.16,14.6428947368421053,8.1228947368421053
1895,Johannesburg,14.71,8.15,14.6446153846153846,8.1235897435897436
1896,Johannesburg,15.29,8.21,14.6607500000000000,8.1257500000000000
1897,Johannesburg,14.82,8.29,14.6646341463414634,8.1297560975609756
1898,Johannesburg,14.22,8.18,14.6540476190476190,8.1309523809523810
1899,Johannesburg,14.59,8.40,14.6525581395348837,8.1372093023255814
1900,Johannesburg,15.13,8.50,14.6634090909090909,8.1454545454545455
1901,Johannesburg,14.56,8.54,14.6611111111111111,8.1542222222222222
1902,Johannesburg,14.49,8.30,14.6573913043478261,8.1573913043478261
1903,Johannesburg,14.68,8.22,14.6578723404255319,8.1587234042553191
1904,Johannesburg,14.35,8.09,14.6514583333333333,8.1572916666666667
1905,Johannesburg,14.66,8.23,14.6516326530612245,8.1587755102040816
1906,Johannesburg,14.36,8.38,14.6458000000000000,8.1632000000000000
1907,Johannesburg,14.27,7.95,14.6384313725490196,8.1590196078431373
1908,Johannesburg,14.80,8.19,14.6415384615384615,8.1596153846153846
1909,Johannesburg,14.77,8.18,14.6439622641509434,8.1600000000000000
1910,Johannesburg,14.19,8.22,14.6355555555555556,8.1611111111111111
1911,Johannesburg,14.57,8.18,14.6343636363636364,8.1614545454545455
1912,Johannesburg,15.16,8.17,14.6437500000000000,8.1616071428571429
1913,Johannesburg,15.18,8.30,14.6531578947368421,8.1640350877192982
1914,Johannesburg,15.33,8.59,14.6648275862068966,8.1713793103448276
1915,Johannesburg,14.78,8.59,14.6667796610169492,8.1784745762711864
1916,Johannesburg,14.95,8.23,14.6715000000000000,8.1793333333333333
1917,Johannesburg,14.21,8.02,14.6639344262295082,8.1767213114754098
1918,Johannesburg,14.50,8.13,14.6612903225806452,8.1759677419354839
1919,Johannesburg,15.11,8.38,14.6684126984126984,8.1792063492063492
1920,Johannesburg,15.13,8.36,14.6756250000000000,8.1820312500000000
1921,Johannesburg,14.49,8.57,14.6727692307692308,8.1880000000000000
1922,Johannesburg,15.27,8.41,14.6818181818181818,8.1913636363636364
1923,Johannesburg,15.42,8.42,14.6928358208955224,8.1947761194029851
1924,Johannesburg,14.40,8.51,14.6885294117647059,8.1994117647058824
1925,Johannesburg,14.78,8.53,14.6898550724637681,8.2042028985507246
1926,Johannesburg,15.26,8.73,14.6980000000000000,8.2117142857142857
1927,Johannesburg,15.18,8.52,14.7047887323943662,8.2160563380281690
1928,Johannesburg,15.16,8.63,14.7111111111111111,8.2218055555555556
1929,Johannesburg,15.17,8.24,14.7173972602739726,8.2220547945205479
1930,Johannesburg,14.75,8.63,14.7178378378378378,8.2275675675675676
1931,Johannesburg,15.17,8.72,14.7238666666666667,8.2341333333333333
1932,Johannesburg,15.40,8.71,14.7327631578947368,8.2403947368421053
1933,Johannesburg,15.21,8.34,14.7389610389610390,8.2416883116883117
1934,Johannesburg,15.17,8.63,14.7444871794871795,8.2466666666666667
1935,Johannesburg,14.56,8.52,14.7421518987341772,8.2501265822784810
1936,Johannesburg,14.67,8.55,14.7412500000000000,8.2538750000000000
1937,Johannesburg,15.08,8.70,14.7454320987654321,8.2593827160493827
1938,Johannesburg,15.28,8.86,14.7519512195121951,8.2667073170731707
1939,Johannesburg,14.57,8.76,14.7497590361445783,8.2726506024096386
1940,Johannesburg,15.32,8.76,14.7565476190476190,8.2784523809523810
1941,Johannesburg,15.90,8.77,14.7700000000000000,8.2842352941176471
1942,Johannesburg,15.30,8.73,14.7761627906976744,8.2894186046511628
1943,Johannesburg,14.67,8.76,14.7749425287356322,8.2948275862068966
1944,Johannesburg,15.26,8.85,14.7804545454545455,8.3011363636363636
1945,Johannesburg,15.18,8.58,14.7849438202247191,8.3042696629213483
1946,Johannesburg,15.33,8.68,14.7910000000000000,8.3084444444444444
1947,Johannesburg,15.33,8.80,14.7969230769230769,8.3138461538461538
1948,Johannesburg,15.14,8.75,14.8006521739130435,8.3185869565217391
1949,Johannesburg,15.35,8.59,14.8065591397849462,8.3215053763440860
1950,Johannesburg,15.35,8.37,14.8123404255319149,8.3220212765957447
1951,Johannesburg,14.88,8.63,14.8130526315789474,8.3252631578947368
1952,Johannesburg,15.27,8.64,14.8178125000000000,8.3285416666666667
1953,Johannesburg,14.76,8.87,14.8172164948453608,8.3341237113402062
1954,Johannesburg,14.91,8.56,14.8181632653061224,8.3364285714285714
1955,Johannesburg,14.44,8.63,14.8143434343434343,8.3393939393939394
1956,Johannesburg,15.14,8.28,14.8176000000000000,8.3388000000000000
1957,Johannesburg,15.27,8.73,14.8220792079207921,8.3426732673267327
1958,Johannesburg,15.54,8.77,14.8291176470588235,8.3468627450980392
1959,Johannesburg,15.07,8.73,14.8314563106796117,8.3505825242718447
1960,Johannesburg,15.14,8.58,14.8344230769230769,8.3527884615384615
1961,Johannesburg,15.39,8.80,14.8397142857142857,8.3570476190476190
1962,Johannesburg,15.57,8.75,14.8466037735849057,8.3607547169811321
1963,Johannesburg,15.09,8.86,14.8488785046728972,8.3654205607476636
1964,Johannesburg,15.15,8.41,14.8516666666666667,8.3658333333333333
1965,Johannesburg,15.28,8.53,14.8555963302752294,8.3673394495412844
1966,Johannesburg,15.64,8.60,14.8627272727272727,8.3694545454545455
1967,Johannesburg,14.88,8.70,14.8628828828828829,8.3724324324324324
1968,Johannesburg,15.09,8.52,14.8649107142857143,8.3737500000000000
1969,Johannesburg,15.66,8.60,14.8719469026548673,8.3757522123893805
1970,Johannesburg,15.83,8.70,14.8803508771929825,8.3785964912280702
1971,Johannesburg,15.15,8.60,14.8826956521739130,8.3805217391304348
1972,Johannesburg,15.31,8.50,14.8863793103448276,8.3815517241379310
1973,Johannesburg,15.34,8.95,14.8902564102564103,8.3864102564102564
1974,Johannesburg,14.93,8.47,14.8905932203389831,8.3871186440677966
1975,Johannesburg,14.99,8.74,14.8914285714285714,8.3900840336134454
1976,Johannesburg,14.62,8.35,14.8891666666666667,8.3897500000000000
1977,Johannesburg,15.57,8.85,14.8947933884297521,8.3935537190082645
1978,Johannesburg,15.30,8.69,14.8981147540983607,8.3959836065573770
1979,Johannesburg,15.65,8.73,14.9042276422764228,8.3986991869918699
1980,Johannesburg,15.08,8.98,14.9056451612903226,8.4033870967741935
1981,Johannesburg,14.81,9.17,14.9048800000000000,8.4095200000000000
1982,Johannesburg,15.69,8.64,14.9111111111111111,8.4113492063492063
1983,Johannesburg,16.17,9.03,14.9210236220472441,8.4162204724409449
1984,Johannesburg,15.68,8.69,14.9269531250000000,8.4183593750000000
1985,Johannesburg,15.81,8.66,14.9337984496124031,8.4202325581395349
1986,Johannesburg,15.72,8.83,14.9398461538461538,8.4233846153846154
1987,Johannesburg,15.85,8.99,14.9467938931297710,8.4277099236641221
1988,Johannesburg,15.43,9.20,14.9504545454545455,8.4335606060606061
1989,Johannesburg,15.14,8.92,14.9518796992481203,8.4372180451127820
1990,Johannesburg,15.56,9.23,14.9564179104477612,8.4431343283582090
1991,Johannesburg,15.56,9.18,14.9608888888888889,8.4485925925925926
1992,Johannesburg,16.48,8.84,14.9720588235294118,8.4514705882352941
1993,Johannesburg,16.01,8.87,14.9796350364963504,8.4545255474452555
